ID,Title,Episodes,Type,Aired,Producers,Studios,Source,Genres,Duration,Score,Rating count,Rank,Popularity
49878,Drop,1,Music,"Jul 22, 2021","None found, add some",10Gauge,Original,,5 min.,6.78,469,Ranked: N/A2,14854
49880,KU-RU-KU-RU Cruller!,1,Music,"Sep 22, 2021","Sunrise, Magic Capsule, Kadokawa, Bandai Namco Arts","None found, add some",Other,,7 min.,7.36,961,Ranked: N/A2,11873
49882,Akogare Ranraran,1,Music,"Mar 4, 2021","None found, add some","None found, add some",Other,,4 min.,6.29,431,Ranked: N/A2,14588
49889,Tsuki ga Michibiku Isekai Douchuu 2nd Season,25,TV,"Jan 8, 2024 to Jun 24, 2024","Mainichi Broadcasting System, Nippon Television Network, Tokyo MX, Medicos Entertainment, DMM.com, A-Sketch, BS NTV, AQUA ARIS, NetEase, CTW, AlphaPolis",J.C.Staff,Light novel,"Action, Adventure, Comedy, Fantasy",23 min. per ep.,7.83,110346,9552,956
49891,Tensei shitara Ken deshita,12,TV,"Oct 5, 2022 to Dec 21, 2022","Gentosha Comics, Nikkatsu, NBCUniversal Entertainment Japan, JR East Marketing & Communications, Micro Magazine Publishing, BS Asahi, GREE Entertainment, Micro House",C2C,Light novel,"Action, Adventure, Fantasy",23 min. per ep.,7.52,142279,18282,878
49893,Kobayashi-san Chi no Maid Dragon S: Nippon no Omotenashi - Attend wa Dragon desu,1,Special,"Jan 19, 2022","None found, add some",Kyoto Animation,Manga,"Fantasy, Slice of Life",23 min.,7.80,31949,10172,2545
49894,Eiyuu Kyoushitsu,12,TV,"Jul 9, 2023 to Sep 24, 2023","Square Enix, Lantis, Movic, Shueisha, Jinnan Studio, Tencent Japan, Bandai Namco Filmworks, Bandai Namco Music Live",Actas,Light novel,"Action, Fantasy, Ecchi",23 min. per ep.,6.05,46133,95462,1822
49895,Go! Saitama,1,ONA,"Sep 23, 2021","None found, add some",Village Studio,Web manga,,1 min.,6.96,2677,44772,8412
49898,Fake Land,1,Music,"Feb 16, 2021","None found, add some","None found, add some",Original,,3 min.,6.09,139,Ranked: N/A2,20090
49899,Hajimari no Senaka,1,Music,"May 24, 2021","None found, add some","None found, add some",Original,,4 min.,5.80,105,Ranked: N/A2,21083
49902,Tsuki (2016),1,Music,"Aug 15, 2016","None found, add some","None found, add some",Original,,4 min.,5.96,119,Ranked: N/A2,20705
49903,Game of Dice,1,Music,"Dec 18, 2020","None found, add some","None found, add some",Original,,3 min.,5.86,139,Ranked: N/A2,19846
49907,He Nü'er De Richang 2nd Season,18,ONA,"Mar 21, 2017 to 2017","None found, add some",TrioPen Studio,Manga,"Comedy, Slice of Life",2 min. per ep.,N/A,,206252,21460
49908,He Nü'er De Richang 3rd Season,18,ONA,"Oct 9, 2018 to 2018","None found, add some",TrioPen Studio,Manga,"Comedy, Slice of Life",3 min. per ep.,N/A,,206272,22252
